"mz","intensity"
101.071502685547,74105.4765625
102.05549621582,105530.4765625
115.05054473877,158732.1875
115.086776733398,75867.9140625
124.144035339355,45457.22265625
127.050369262695,295541.8125
129.065826416016,71978.0234375
143.118011474609,907899.875
144.076736450195,120401.3203125
147.132171630859,61736.55859375
147.999420166016,56152.0234375
155.045379638672,264324.375
155.118072509766,80590.421875
155.721252441406,57774.44140625
157.108062744141,59944.828125
158.092559814453,148815.515625
171.112930297852,2144552.25
172.071762084961,394781.1875
172.116073608398,60170.45703125
175.119094848633,1505214.125
183.113052368164,397910.59375
200.139511108398,63681.52734375
210.123931884766,74241.5234375
219.732543945312,51062.30078125
223.107452392578,132630.59375
226.081787109375,102844.96875
228.134292602539,541370.125
229.092987060547,329407.84375
240.098266601562,104780.1875
244.092498779297,217714.75
251.904479980469,49700.953125
258.108703613281,137970.09375
258.155731201172,76088.71875
259.140472412109,252359.671875
276.166717529297,2583122.25
277.170135498047,106836.875
283.103485107422,108163.359375
284.087524414062,223578.21875
294.143768310547,58305.55078125
297.155670166016,800098
298.157867431641,68990.9921875
301.114868164062,257131.0625
302.435729980469,57498.6875
312.155731201172,82972.796875
314.182067871094,115306.734375
322.140319824219,57103.796875
325.150390625,389000.25
326.150756835938,55265.42578125
330.140258789062,170208.71875
337.114196777344,75189.609375
340.124542236328,75998.53125
341.109008789062,173074.953125
342.176971435547,254949.671875
348.153167724609,70770.9375
355.124267578125,67688.1484375
355.683074951172,198240.671875
358.135314941406,251310.4375
358.210540771484,100098.71875
359.139526367188,70229.140625
372.150909423828,91301.4453125
373.693084716797,97795.59375
375.235076904297,2364014.5
376.171508789062,61111.9921875
376.238677978516,309380.4375
384.684539794922,145613.390625
385.218566894531,95471.0625
394.134948730469,181284.046875
408.188842773438,82957.40625
409.172180175781,120489.234375
412.147552490234,102941.8125
413.196807861328,106239.7109375
421.707855224609,140838.109375
422.202270507812,196627.84375
426.198333740234,466592.90625
427.199829101562,94333.890625
430.713745117188,56803.8359375
436.179840087891,86747.078125
451.157196044922,162333.140625
453.208465576172,137805.90625
454.193298339844,288595.9375
455.740386962891,81233.796875
456.238342285156,107374.9765625
464.746795654297,68432.9140625
468.256530761719,76058.6484375
469.168426513672,140519.796875
471.221984863281,249680
478.252868652344,100945.9375
478.745025634766,110362.6953125
485.282379150391,271720.15625
486.195556640625,116309
486.265625,477203.8125
487.261596679688,165764.90625
488.249542236328,105637.7734375
503.294158935547,3179123.5
504.297912597656,577212.6875
511.214630126953,96125.375
513.279907226562,84136.015625
551.210754394531,81247.3828125
564.240173339844,89469.796875
565.226928710938,61449.265625
568.235900878906,152869.40625
582.25390625,70649.8671875
585.263916015625,117407.7578125
597.300170898438,134584.265625
614.325805664062,628247.875
615.323364257812,143375.46875
632.336853027344,2286947.25
633.339111328125,534174.9375
642.322021484375,218132.28125
677.151000976562,49879.8671875
711.346618652344,58299.1484375
712.326538085938,124236.2890625
728.375305175781,74313.125
729.350830078125,267542.125
730.355041503906,61286.671875
746.379699707031,1236340.75
747.380859375,389046.0625
762.521911621094,55954.69921875
768.365661621094,80780.4453125
769.350830078125,57605.234375
785.389099121094,128015.875
786.376831054688,522094.40625
787.381225585938,113013.0078125
803.40087890625,4586483.5
804.333068847656,59607.7265625
804.403869628906,1373036.375
804.488708496094,68322.6484375
818.401794433594,56625.171875
825.385070800781,91937.8984375
826.373718261719,90705.2734375
842.410888671875,367821.40625
843.396301269531,1721673.25
844.398498535156,476625.65625
860.422302246094,12894520
861.425048828125,4248951
862.427612304688,154045.78125
870.404846191406,159569.8125
871.395141601562,196302.6875
880.671020507812,65916
